Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
38,38,C,6720,7000,7680,7040,7240,7040,7880,7760,7320,7240,8080,7760,8000,7760,7840,17560,7720,7800,7240,7440,7280,6760,23520,24920,,,,7200.0
39,39,D,7560,7440,7360,7440,7360,7840,7240,7720,8000,7720,7600,7800,7640,7400,7680,7960,7160,7400,7080,6840,1920,7080,26600,25520,,,,7520.0
40,40,E,7400,7600,8320,8080,8000,8640,8520,8680,8600,8240,9400,8880,9160,8720,8320,8520,8280,8560,7760,7920,8240,7720,28360,28200,,,,7440.0
41,41,F,8120,7760,7720,8360,8080,8680,8920,9120,8680,8400,9240,8920,9560,8400,8680,9280,8240,8560,8400,7520,8320,8080,29240,27160,,,,6920.0
42,42,G,7800,7560,7840,7840,7600,8040,7840,9440,8360,8600,8680,8160,7520,8040,7920,8000,7960,8240,7400,7840,7680,7000,29280,26800,,,,6720.0
43,43,H,7640,7400,8120,8160,8120,8840,8080,8760,8480,8360,8960,8400,8760,8720,7440,8280,7440,8040,8720,7400,7600,7400,27480,24720,,,,7400.0
44,44,I,6360,6720,7360,7280,7480,7760,7840,8600,8800,8240,7960,7960,8840,8240,8840,7960,7920,7120,7760,7920,7400,7240,26920,27680,,,,8760.0
45,45,J,7040,7400,7120,7080,7920,7600,7920,7920,8640,8120,7960,8400,8160,7520,7640,8080,8080,7680,7480,7600,7720,6640,28320,27680,,,,7880.0
46,46,K,6920,7360,7520,7480,8080,8800,8440,8800,8680,8560,8680,8120,8520,8040,8080,8400,7600,7760,7600,7760,7960,7680,28400,24200,,,,7800.0
47,47,L,7320,7440,7200,7800,8000,8120,7440,8080,7840,7640,8320,7640,8160,7880,8280,8160,8080,8280,7640,7000,7280,6920,30040,26920,,,,7840.0
48,48,M,7160,6920,7760,7600,7760,8320,8360,8400,7920,7520,7840,8120,8880,7440,7480,7960,7560,7800,7240,7720,7960,7400,30840,27320,,,,7560.0
49,49,N,7000,6960,7280,6840,7320,7840,7640,7880,7760,7520,8360,8080,7720,8120,7640,7880,5680,7720,7320,7160,7840,6840,31000,26160,,,,7080.0
50,50,O,6760,7240,7280,7200,7320,7600,7600,7720,7720,7720,7920,7600,7960,7920,7480,7680,6960,6960,7120,7440,7160,6720,27840,26120,,,,8040.0
