Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
122,122,F,8120,9440,9640,9720,10640,9960,8720,11240,10400,8720,10640,10680,11080,10320,10880,7600,10720,10520,10880,10560,10080,10200,39960,39280
123,123,G,8280,8160,8840,9280,10160,9720,10360,11120,10800,8960,8760,10840,9520,9960,10880,11320,9600,10400,6720,11080,10600,9480,36600,37080
124,124,H,8000,7840,8640,5640,9800,9760,10320,10160,10240,9760,6360,10120,11280,9840,11680,10640,10440,8120,10040,9320,7640,9080,40760,37600
125,125,I,8640,7000,9480,9000,8360,10880,9720,9760,10560,10320,10440,9720,9960,9800,10320,8480,10160,9400,8400,9680,10000,9080,36480,36880
126,126,J,7640,7880,8560,7240,9080,9880,9280,9840,9800,9840,9800,10000,10560,8560,9320,10120,5800,9040,8480,9400,8440,8640,39000,36640
127,127,K,8960,8280,8600,9040,6600,10720,9240,8760,10960,10200,10880,10400,11280,9680,9640,10240,9560,9920,9000,7200,9960,9480,40720,39840
128,128,L,6960,8240,7200,8880,8840,12440,9240,10280,26240,9840,10000,10040,4800,9400,10120,10720,9800,10280,7200,9320,9440,9320,39720,37440
129,129,M,8520,8120,8160,9320,9160,9320,5880,9800,10480,9800,9000,9680,9760,9880,10080,11720,7080,10480,9640,8800,12000,9360,42120,38400
130,130,N,7080,7880,8200,8800,8880,9040,9080,9760,9400,9960,9640,9440,10480,9320,9840,9360,9040,9480,9440,8720,9360,10040,41240,39280
131,131,O,7720,14640,7880,8040,7880,9440,8320,9240,9120,7280,9840,9000,8920,9160,6560,9720,7440,8120,8840,7040,9760,8680,41000,40680
132,132,P,5960,6240,7200,6600,8200,8320,7960,8160,7480,8200,8160,7960,8320,7440,8040,7920,6880,8400,7240,8080,7400,7600,44400,40720
133,133,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
135,135,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
136,136,6,1,H2060220,14.01,17.7,17.72,40.7,41.2,18.1,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:41,,,,,,,,
137,137,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,Background information,,,,,,,,,,,,,,,,,,,,,,,,
139,139,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
140,140,6,Jez US LUM 384 (cps),0,12,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
141,141,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
143,143,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
144,144,A,7000,7120,7840,7840,8640,7920,8800,9040,8360,8920,8600,8160,8600,8200,8680,8800,8480,8480,7960,8800,7920,7760,34640,37000
145,145,B,8240,8360,7440,8640,7840,11600,7960,9200,9320,8920,9480,8640,9320,10120,8560,9760,8560,4560,6360,7880,9320,8440,36600,36040
146,146,C,7800,8280,8360,8520,7640,9680,7520,10320,9440,8760,9680,7640,8520,8520,10040,10040,9520,9200,9360,9720,8360,9120,33920,38280
147,147,D,9080,7440,8920,9320,11320,10080,9600,9840,10120,9520,10120,9600,10040,10760,9520,8960,9960,9880,10680,9480,10040,9040,35720,37560
148,148,E,10320,9800,11080,10800,12200,11720,12840,12120,12520,11120,11280,10440,7640,12320,8760,10480,10880,14880,12200,8760,13000,11560,42760,39240
149,149,F,10000,8840,10560,10760,8840,11520,10400,12160,12280,11360,12680,11600,12080,12280,11920,12360,11520,12640,10520,11880,11800,11480,39000,37680
150,150,G,9600,7120,11160,11000,11280,10560,11120,12160,10920,11800,11960,8760,11800,11520,12960,12160,11720,12440,11040,11480,9560,10240,37480,39960
151,151,H,9360,8760,10080,10680,13520,10680,11080,11280,11040,10880,10240,10320,11080,11520,10360,11480,11280,11000,10960,10240,10520,10280,37760,37200
152,152,I,8560,9280,7320,7800,10600,11200,11200,9720,10120,9200,6240,11240,11800,8760,11760,11000,10640,4880,9760,11240,10000,9880,40920,39600
153,153,J,9000,7880,9920,10240,9240,10760,7960,10400,11200,8880,11120,10640,11280,11680,6600,11040,9720,10040,10520,9440,10920,9960,42920,39560
154,154,K,9560,6920,10480,10360,9200,8960,11160,11360,11080,12240,12000,10080,10760,11720,11200,8280,11080,10080,9280,8000,10640,11280,44160,41200
155,155,L,9320,7400,8960,9960,9840,11120,10480,10720,10560,9600,11480,11080,7520,9960,10960,11240,10360,10560,10200,8520,10920,9600,42800,41920
156,156,M,9040,10080,10960,10120,10320,11000,11360,12160,11960,10600,9480,11680,9440,11520,11200,11760,10880,11520,10920,10440,11560,10520,44680,40480
157,157,N,9000,5840,9480,9240,9840,10320,9600,10040,9720,10640,11080,10480,10080,10680,9440,10840,9200,8560,9960,10040,11480,10160,41320,39360
158,158,O,8640,6000,10040,14960,18240,6520,10320,11520,6360,10120,8440,10160,10360,9440,10680,11200,9560,10240,9640,7520,9960,10080,42320,43600
159,159,P,7760,6720,8440,8720,8640,8720,8720,8040,8400,9080,9480,8640,9240,9040,9160,9600,7200,9560,9440,8760,8880,9240,39080,48840
160,160,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
162,162,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
163,163,7,1,H2060222,14.01,17.7,17.82,41.2,41.4,18.1,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:42,,,,,,,,
164,164,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,Background information,,,,,,,,,,,,,,,,,,,,,,,,
166,166,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
167,167,7,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
168,168,,,,,,,,,,,,,,,,,,,,,,,,,
169,169,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
170,170,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
171,171,A,6400,6680,6360,6840,8160,6480,7760,7560,7000,7800,7440,7800,7280,7400,7600,7200,7600,7320,6560,7120,7320,7880,34120,38200
172,172,B,6880,7040,6320,7280,8160,8520,8160,7880,8360,8440,8280,8800,8600,8640,4960,7360,12160,6480,8200,7240,7320,7840,34760,36280
173,173,C,6560,8000,8120,8400,8520,8960,8720,13440,6720,10120,9160,9120,8760,8240,9240,7360,9400,8080,7920,8840,8400,9040,34080,33840
174,174,D,7400,8000,7520,9040,6160,9400,8040,9560,9880,9160,9360,9960,8520,9040,9360,4520,10080,9120,9680,8760,8800,8800,35800,36720
175,175,E,8800,5320,9240,9800,10840,10280,7840,11120,11360,11760,11560,12440,5200,11520,9920,11320,12480,8240,10000,9200,11440,10480,33640,36280
176,176,F,9520,10120,9520,9960,29440,11320,9280,11400,15360,11280,12120,11440,11360,12120,14160,12320,10560,11720,9800,11640,12720,10840,40320,41680
177,177,G,8520,9000,9360,10480,9320,10120,8040,10760,11400,12040,11720,9120,9480,11320,10320,11080,7960,10800,10680,10160,10120,11280,39920,34120
178,178,H,8520,9880,9040,10040,8000,10240,9240,10440,10880,11120,9120,11480,11560,10680,11720,10560,10400,11880,12040,11160,11080,11840,42200,35280
179,179,I,7680,8040,9200,9480,10720,10600,7640,11080,11280,10640,10520,11400,11640,10880,11840,10240,11080,11080,10080,10120,11040,10880,34640,35640
180,180,J,7760,4440,8640,10000,9480,9560,11360,10440,11280,9440,10600,10360,7560,9440,9880,10800,10960,10680,10280,9920,11320,10040,41600,34160
181,181,K,8120,9040,9920,9320,10880,10280,11440,12040,10480,11440,11120,12040,11480,12360,8760,10040,11360,11000,9720,11480,11080,10400,39840,37640
182,182,L,8720,8560,9040,7800,8320,10840,10400,10960,10600,10640,10160,12120,11200,11440,9360,11360,10760,11000,4240,11280,10800,10640,43600,39480
183,183,M,8480,10640,9200,10480,9360,10360,10680,10920,10400,11800,11520,10880,11480,10400,12280,10680,10280,12560,11240,11200,10640,10760,45680,38800
184,184,N,8280,5320,9400,9600,8680,10760,8800,9480,10640,10120,10880,9000,10120,11920,10560,10320,11120,5160,11360,11320,11360,11280,37800,37440
185,185,O,8520,9760,8880,9880,10320,9440,10320,7080,8880,10200,9560,9760,10760,10480,9000,10240,8720,10240,9480,10240,6920,10040,43080,42840
186,186,P,7000,7720,7600,8840,8240,8800,9120,8640,9120,7960,8560,9480,8720,10520,8400,9160,9440,9200,9720,8800,9200,8920,43240,41400
187,187,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
189,189,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
190,190,8,1,H2060224,14.01,17.72,17.62,41.2,40.7,18.02,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:44,,,,,,,,
191,191,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,Background information,,,,,,,,,,,,,,,,,,,,,,,,
193,193,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
194,194,8,Jez US LUM 384 (cps),0,4,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
195,195,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
197,197,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
