index,z-score
J9,-0.13734501498898685
J10,-0.16284712358669207
J11,-0.15009606928783942
J12,-0.13947019070546227
J13,-0.1309694878395605
J14,-0.15222124500431486
J15,-0.1798485293184956
J16,-0.13521983927251136
J17,-0.1415953664219377
J18,-0.1777233536020201
J19,-0.12034360925718333
J20,-0.147970893571364
J21,-0.1543464207207903
J22,-0.17559817788554466
J23,-0.468872426759155
J24,2.1578447588044853
K1,-0.1415953664219377
K2,-0.147970893571364
K3,-0.11396808210775698
K4,-0.11821843354070789
K5,-0.1649722993031675
K6,-0.11609325782423247
K7,-0.147970893571364
K8,-0.12459396069013419
K9,-0.14584571785488856
K10,-0.15009606928783942
K11,-0.14584571785488856
K12,-0.147970893571364
K13,-0.12671913640660962
K14,-0.13947019070546227
K15,-0.16709747501964295
K16,-0.11396808210775698
K17,-0.15009606928783942
K18,-0.16072194787021665
K19,-0.181973705034971
K20,-0.14584571785488856
K21,-0.16709747501964295
K22,-0.1330946635560359
K23,-0.4561213724603024
K24,3.1099234797854813
L1,-0.11396808210775698
L2,-0.16284712358669207
L3,-0.12671913640660962
L4,-0.16922265073611836
L5,-0.14584571785488856
L6,-0.1585967721537412
L7,-0.10121702780890439
L8,-0.1649722993031675
L9,-0.16284712358669207
L10,-0.15647159643726571
L11,-0.1543464207207903
L12,-0.1798485293184956
L13,-0.12459396069013419
L14,-0.11821843354070789
L15,-0.16709747501964295
L16,-0.1798485293184956
L17,-0.13734501498898685
L18,-0.14372054213841315
L19,-0.1543464207207903
L20,-0.1947247593338236
L21,-0.147970893571364
L22,-0.16072194787021665
L23,-0.4667472510426796
L24,2.6253834164290817
M1,-0.14372054213841315
M2,-0.16284712358669207
M3,-0.17347300216906925
M4,-0.1330946635560359
M5,-0.14372054213841315
M6,-0.1585967721537412
M7,-0.14372054213841315
M8,-0.10971773067480611
M9,-0.1798485293184956
M10,-0.15009606928783942
M11,-0.1415953664219377
M12,-0.15222124500431486
M13,-0.16284712358669207
M14,-0.13947019070546227
M15,-0.16072194787021665
M16,-0.16922265073611836
M17,-0.16284712358669207
M18,-0.147970893571364
M19,-0.15647159643726571
M20,-0.15222124500431486
M21,-0.02046035058283775
M22,-0.13947019070546227
M23,-0.45824654817677785
M24,3.6114649488736847
