,Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,7200
41,F,0.21320495185694635,0.20082530949105915,0.19944979367262725,0.22145804676753783,0.21182943603851445,0.2324621733149931,0.2407152682255846,0.24759284731774414,0.2324621733149931,0.22283356258596973,0.2517193947730399,0.2407152682255846,0.2627235213204952,0.22283356258596973,0.2324621733149931,0.2530949105914718,0.2173314993122421,0.22833562585969738,0.22283356258596973,0.19257221458046767,0.2200825309491059,0.21182943603851445,0.9394773039889959,0.8679504814305364,,,,6920.0
42,G,0.20220082530949107,0.1939477303988996,0.20357634112792297,0.20357634112792297,0.1953232462173315,0.21045392022008252,0.20357634112792297,0.2585969738651995,0.22145804676753783,0.2297111416781293,0.2324621733149931,0.21458046767537828,0.19257221458046767,0.21045392022008252,0.2063273727647868,0.20907840440165062,0.2077028885832187,0.2173314993122421,0.18844566712517194,0.20357634112792297,0.19807427785419532,0.1746905089408528,0.9408528198074277,0.8555708390646493,,,,6720.0
43,H,0.19669876203576342,0.18844566712517194,0.21320495185694635,0.21458046767537828,0.21320495185694635,0.23796423658872076,0.21182943603851445,0.23521320495185694,0.22558459422283356,0.22145804676753783,0.24209078404401652,0.22283356258596973,0.23521320495185694,0.23383768913342504,0.18982118294360384,0.218707015130674,0.18982118294360384,0.21045392022008252,0.23383768913342504,0.18844566712517194,0.1953232462173315,0.18844566712517194,0.8789546079779917,0.7840440165061898,,,,7400.0
44,I,0.15268225584594222,0.16506189821182943,0.18707015130674004,0.1843191196698762,0.19119669876203577,0.20082530949105915,0.20357634112792297,0.2297111416781293,0.23658872077028886,0.2173314993122421,0.2077028885832187,0.2077028885832187,0.23796423658872076,0.2173314993122421,0.23796423658872076,0.2077028885832187,0.2063273727647868,0.17881705639614856,0.20082530949105915,0.2063273727647868,0.18844566712517194,0.1829436038514443,0.859697386519945,0.8858321870701513,,,,8760.0
45,J,0.17606602475928473,0.18844566712517194,0.17881705639614856,0.17744154057771663,0.2063273727647868,0.1953232462173315,0.2063273727647868,0.2063273727647868,0.2310866574965612,0.21320495185694635,0.2077028885832187,0.22283356258596973,0.21458046767537828,0.19257221458046767,0.19669876203576342,0.21182943603851445,0.21182943603851445,0.19807427785419532,0.19119669876203577,0.1953232462173315,0.19944979367262725,0.1623108665749656,0.9078404401650619,0.8858321870701513,,,,7880.0
46,K,0.171939477303989,0.18707015130674004,0.19257221458046767,0.19119669876203577,0.21182943603851445,0.23658872077028886,0.22420907840440166,0.23658872077028886,0.2324621733149931,0.22833562585969738,0.2324621733149931,0.21320495185694635,0.22696011004126548,0.21045392022008252,0.21182943603851445,0.22283356258596973,0.1953232462173315,0.20082530949105915,0.1953232462173315,0.20082530949105915,0.2077028885832187,0.19807427785419532,0.9105914718019257,0.7661623108665749,,,,7800.0
47,L,0.1856946354883081,0.18982118294360384,0.1815680880330124,0.20220082530949107,0.20907840440165062,0.21320495185694635,0.18982118294360384,0.21182943603851445,0.20357634112792297,0.19669876203576342,0.2200825309491059,0.19669876203576342,0.21458046767537828,0.20495185694635487,0.218707015130674,0.21458046767537828,0.21182943603851445,0.218707015130674,0.19669876203576342,0.1746905089408528,0.1843191196698762,0.171939477303989,0.9669876203576341,0.859697386519945,,,,7840.0
48,M,0.18019257221458046,0.171939477303989,0.20082530949105915,0.1953232462173315,0.20082530949105915,0.2200825309491059,0.22145804676753783,0.22283356258596973,0.2063273727647868,0.19257221458046767,0.20357634112792297,0.21320495185694635,0.2393397524071527,0.18982118294360384,0.19119669876203577,0.2077028885832187,0.1939477303988996,0.20220082530949107,0.1829436038514443,0.19944979367262725,0.2077028885832187,0.18844566712517194,0.9944979367262724,0.8734525447042641,,,,7560.0
49,N,0.1746905089408528,0.1733149931224209,0.1843191196698762,0.16918844566712518,0.1856946354883081,0.20357634112792297,0.19669876203576342,0.20495185694635487,0.20082530949105915,0.19257221458046767,0.22145804676753783,0.21182943603851445,0.19944979367262725,0.21320495185694635,0.19669876203576342,0.20495185694635487,0.12929848693259974,0.19944979367262725,0.1856946354883081,0.18019257221458046,0.20357634112792297,0.16918844566712518,1.0,0.8335625859697386,,,,7080.0
50,O,0.16643741403026135,0.1829436038514443,0.1843191196698762,0.1815680880330124,0.1856946354883081,0.1953232462173315,0.1953232462173315,0.19944979367262725,0.19944979367262725,0.19944979367262725,0.2063273727647868,0.1953232462173315,0.2077028885832187,0.2063273727647868,0.19119669876203577,0.19807427785419532,0.1733149931224209,0.1733149931224209,0.17881705639614856,0.18982118294360384,0.18019257221458046,0.16506189821182943,0.8913342503438789,0.8321870701513068,,,,8040.0
51,P,0.1609353507565337,0.17744154057771663,0.1746905089408528,0.1939477303988996,0.1733149931224209,0.19257221458046767,0.18707015130674004,0.2077028885832187,0.19807427785419532,0.1829436038514443,0.20495185694635487,0.18982118294360384,0.17606602475928473,0.18019257221458046,0.17606602475928473,0.18982118294360384,0.18019257221458046,0.20220082530949107,0.16506189821182943,0.17056396148555708,0.18707015130674004,0.17606602475928473,0.9559834938101788,0.8583218707015131,,,,7200.0
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840.0
53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760.0
54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7080.0
55,2,1,H2061372,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:50,,,,,,,,,,,,,,,,,7440.0
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200.0
57,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120.0
58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,8560.0
59,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7720.0
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
61,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0
62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7840.0
63,A,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7360.0
64,B,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400.0
65,C,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,6920.0
66,D,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7880.0
67,E,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7080.0
68,F,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7440.0
69,G,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7680.0
70,H,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7480.0
71,I,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7760.0
72,J,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400.0
73,K,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8520.0
74,L,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8360.0
75,M,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920.0
76,N,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8200.0
77,O,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920.0
78,P,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7520.0
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0
80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600.0
81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7840.0
82,2,1,H2061372,14.01,17.51,17.41,43.1,42.9,17.8,17.9,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:50,,,,,,,,,,,,7280.0
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720.0
84,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280.0
85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640.0
86,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8760.0
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7960.0
89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8040.0
90,A,0.0,0.023450586264656615,0.031825795644891124,0.05025125628140704,0.08542713567839195,0.051926298157453935,0.04187604690117253,0.04020100502512563,0.04020100502512563,0.04522613065326633,0.05025125628140704,0.07537688442211055,0.035175879396984924,0.06365159128978225,0.05862646566164154,0.04355108877721943,0.04690117252931323,0.02512562814070352,0.021775544388609715,0.03685092127303183,0.038525963149078725,0.018425460636515914,0.8140703517587939,0.916247906197655,,,,7280.0
91,B,0.04020100502512563,0.05862646566164154,0.05527638190954774,0.051926298157453935,0.04690117252931323,0.05695142378559464,0.11892797319932999,0.04355108877721943,0.08542713567839195,0.03685092127303183,0.07370184254606366,0.051926298157453935,0.06365159128978225,0.07705192629815745,0.051926298157453935,0.08207705192629816,0.06532663316582915,0.06700167504187604,0.06700167504187604,0.04690117252931323,0.03685092127303183,0.020100502512562814,0.6432160804020101,0.8408710217755444,,,,7040.0
92,C,0.05862646566164154,0.05360134003350084,0.03350083752093802,0.07202680067001675,0.07537688442211055,0.07202680067001675,0.07537688442211055,0.08207705192629816,0.05527638190954774,0.08710217755443886,0.07705192629815745,0.08375209380234507,0.05862646566164154,0.06867671691792294,0.09045226130653267,0.07370184254606366,0.08375209380234507,0.06197654941373534,0.04690117252931323,0.06197654941373534,0.035175879396984924,0.03015075376884422,0.6817420435510888,0.7336683417085427,,,,7720.0
93,D,0.06700167504187604,0.05527638190954774,0.05527638190954774,0.08375209380234507,0.06867671691792294,0.11390284757118928,0.09882747068676717,0.06700167504187604,0.12227805695142378,0.09715242881072027,0.08040201005025126,0.06700167504187604,0.08542713567839195,0.08710217755443886,0.08207705192629816,0.08710217755443886,0.09212730318257957,0.06867671691792294,0.05527638190954774,0.04690117252931323,0.04690117252931323,0.04690117252931323,0.678391959798995,0.7386934673366834,,,,7640.0
94,E,0.09045226130653267,0.08710217755443886,0.12060301507537688,0.09045226130653267,0.11892797319932999,0.11222780569514237,0.1474036850921273,0.152428810720268,0.10552763819095477,0.1457286432160804,0.16415410385259632,0.12562814070351758,0.15912897822445563,0.1306532663316583,0.1273031825795645,0.1273031825795645,0.1273031825795645,0.11390284757118928,0.18592964824120603,0.11892797319932999,0.05862646566164154,0.09045226130653267,0.7705192629815746,0.9246231155778895,,,,8320.0
95,F,0.10050251256281408,0.08710217755443886,0.11725293132328309,0.1440536013400335,0.1658291457286432,0.2529313232830821,0.12060301507537688,0.1624790619765494,0.19262981574539365,0.12897822445561138,0.13400335008375208,0.1390284757118928,0.1306532663316583,0.16415410385259632,0.11390284757118928,0.1507537688442211,0.10552763819095477,0.10552763819095477,0.11892797319932999,0.07537688442211055,0.10050251256281408,0.09045226130653267,0.7554438860971524,0.8676716917922948,,,,7120.0
96,G,0.07705192629815745,0.08375209380234507,0.07202680067001675,0.07035175879396985,0.10887772194304858,0.10385259631490787,0.11557788944723618,0.09715242881072027,0.12395309882747069,0.11725293132328309,0.1323283082077052,0.09547738693467336,0.12395309882747069,0.10887772194304858,0.1323283082077052,0.1273031825795645,0.09380234505862646,0.09882747068676717,0.06197654941373534,0.07202680067001675,0.06030150753768844,0.07370184254606366,0.8207705192629816,0.7688442211055276,,,,7880.0
