,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
45,J,-0.21410480433408718,-0.15223934847375759,-0.20035692525401402,-0.2072308647940506,-0.06287813445328135,-0.1178696507735745,-0.06287813445328135,-0.06287813445328135,0.060852777267377846,-0.028508436753098106,-0.05600419491324476,0.019609140027158314,-0.021634497213061515,-0.1316175298536477,-0.11099571123353777,-0.03538237629313499,-0.03538237629313499,-0.10412177169350118,-0.13849146939368426,-0.1178696507735745,-0.09724783215346458,-0.2828441997344535,3.4428310309654004,3.3328479983248145,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.06975207399331794
46,K,-0.2347266229541971,-0.15911328801379418,-0.1316175298536477,-0.13849146939368426,-0.03538237629313499,0.0883485354275245,0.026483079567194902,0.0883485354275245,0.06772671680741474,0.04710489818730467,0.06772671680741474,-0.028508436753098106,0.040230958647268084,-0.042256315833171576,-0.03538237629313499,0.019609140027158314,-0.1178696507735745,-0.090373892613428,-0.1178696507735745,-0.090373892613428,-0.05600419491324476,-0.10412177169350118,3.4565789100454736,2.7348152583416274,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.0834999530733914
47,L,-0.1659872275538309,-0.145365408933721,-0.1866090461739407,-0.0834999530733914,-0.04913025537320817,-0.028508436753098106,-0.145365408933721,-0.03538237629313499,-0.07662601353335452,-0.11099571123353777,0.00586126094708484,-0.11099571123353777,-0.021634497213061515,-0.06975207399331794,-0.0010126785929517488,-0.021634497213061515,-0.03538237629313499,-0.0010126785929517488,-0.11099571123353777,-0.22097874387412392,-0.1728611670938675,-0.2347266229541971,3.738410431186975,3.2022431470641184,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.07662601353335452
48,M,-0.19348298571397743,-0.2347266229541971,-0.090373892613428,-0.1178696507735745,-0.090373892613428,0.00586126094708484,0.012735200487121429,0.019609140027158314,-0.06287813445328135,-0.1316175298536477,-0.07662601353335452,-0.028508436753098106,0.10209641450759768,-0.145365408933721,-0.13849146939368426,-0.05600419491324476,-0.12474359031361108,-0.0834999530733914,-0.1797351066339041,-0.09724783215346458,-0.05600419491324476,-0.15223934847375759,3.875889221987708,3.2709825424644845,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.12474359031361108
49,N,-0.22097874387412392,-0.2278526834141605,-0.1728611670938675,-0.24847450203427043,-0.1659872275538309,-0.07662601353335452,-0.11099571123353777,-0.06975207399331794,-0.090373892613428,-0.1316175298536477,0.012735200487121429,-0.03538237629313499,-0.09724783215346458,-0.028508436753098106,-0.11099571123353777,-0.06975207399331794,-0.44781874869533267,-0.09724783215346458,-0.1659872275538309,-0.19348298571397743,-0.07662601353335452,-0.24847450203427043,3.9033849801478544,3.0716382958034223,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.2072308647940506
50,O,-0.2622223811143436,-0.1797351066339041,-0.1728611670938675,-0.1866090461739407,-0.1659872275538309,-0.1178696507735745,-0.1178696507735745,-0.09724783215346458,-0.09724783215346458,-0.09724783215346458,-0.06287813445328135,-0.1178696507735745,-0.05600419491324476,-0.06287813445328135,-0.13849146939368426,-0.10412177169350118,-0.2278526834141605,-0.2278526834141605,-0.20035692525401402,-0.145365408933721,-0.19348298571397743,-0.2690963206543803,3.3603437564849608,3.0647643562633853,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.042256315833171576
51,P,-0.28971813927449025,-0.2072308647940506,-0.22097874387412392,-0.12474359031361108,-0.2278526834141605,-0.1316175298536477,-0.15911328801379418,-0.05600419491324476,-0.10412177169350118,-0.1797351066339041,-0.06975207399331794,-0.145365408933721,-0.21410480433408718,-0.19348298571397743,-0.21410480433408718,-0.145365408933721,-0.19348298571397743,-0.0834999530733914,-0.2690963206543803,-0.24160056249423384,-0.15911328801379418,-0.21410480433408718,3.6834189148666825,3.1953692075240814,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.1866090461739407
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840
53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760
54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7080
55,2,1,H2061372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:50,,,,,,,,,,,,,,,,,7440
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200
57,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120
58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,8560
59,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7720
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800
61,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000
62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7840
63,A,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7360
64,B,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400
65,C,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,6920
66,D,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7880
67,E,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7080
68,F,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7440
69,G,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7680
70,H,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7480
71,I,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7760
72,J,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400
73,K,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8520
74,L,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8360
75,M,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920
76,N,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8200
77,O,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920
