,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
76,2,Jez US LUM 384 (cps),0,40,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
77,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
78,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
79,A,0.012922746295667911,0.015368736568261508,0.016740187761565432,0.016570523696414433,0.016782603777853185,0.01710779323605927,0.016697771745277683,0.018196470987444858,0.016697771745277683,0.016909851826716435,0.016217056894016514,0.01698054518719602,0.01784300418504694,0.02129284017645063,0.021236285488066962,0.02033141047392829,0.021943219092862797,0.02098178939034046,0.02423368397240131,0.024827508200429817,0.03003053953172718,0.025520303133129738,0.23482920484108133,0.23762866191607285,0.0
80,B,0.01570806469856351,0.017022961203483768,0.01741884402216944,0.03165648682275761,0.017645062775704105,0.017263318629114354,0.01788542020133469,0.017008822531387854,0.01893168193643253,0.017051238547675603,0.01802680692229386,0.018337857708404025,0.018309580364212194,0.0281076801266825,0.02267843004185047,0.021377672209026127,0.023597443728085057,0.04035177016174641,0.02328639294197489,0.028121818798778418,0.019864834294763035,0.01758850808732044,0.2707414319647099,0.23686517362289333,0.0
81,C,0.016160502205632848,0.016782603777853185,0.006857255966519624,0.019355842099310034,0.019652754213324283,0.01754609207103269,0.017531953398936772,0.01897409795272028,0.019949666327338536,0.020133469064585453,0.019525506164461033,0.01784300418504694,0.01719262526863477,0.018733740527089697,0.021010066734532293,0.024474041398031898,0.03241997511593711,0.026354484786788826,0.02563341250989707,0.029083248501300757,0.032646193869471776,0.03143026806922294,0.21773555027711797,0.20050050899219546,0.0
82,D,0.015199072503110507,0.017913697545526523,0.0168815744825246,0.019864834294763035,0.01876201787128153,0.019129623345775365,0.018507521773555028,0.02144836556950571,1.0,0.020868680013573126,0.019271010066734533,0.01871960185499378,0.016443275647551183,0.020911096029860875,0.0196668928854202,0.02045865852279154,0.020995928062436376,0.029705350073521094,0.025958601968103154,0.03420144780002262,0.020034498359914037,0.031698902839045355,0.23861836896278701,0.2145543490555367,0.0
83,E,0.019992082343626285,0.01840855106888361,0.020006221015722202,0.01698054518719602,0.01589186743581043,0.02116559212758738,0.02045865852279154,0.02116559212758738,0.023710553104852393,0.021222146815971045,0.020288994457640538,0.0191579006899672,0.02096765071824454,0.025605135165705235,0.02667967424499491,0.02634034611469291,0.026156543377445992,0.021589752290464878,0.019030652641103946,0.02663725822870716,0.008158013799343966,0.02724522112883158,0.2692568713946386,0.21718414206537723,0.0
84,F,0.01719262526863477,0.01811163895486936,0.020896957357764957,0.02081212532518946,0.019511367492365116,0.022211853862685215,0.021038344078724125,0.019115484673679448,0.020600045243750708,0.021589752290464878,0.022423933944123967,0.024389209365456396,0.023738830449044224,0.025647551181992988,0.024403348037552314,0.024177129284017645,0.006828978622327791,0.027740074652188668,0.010957470874335483,0.009854654450853977,0.0335086528673227,0.041921162764393165,0.28100610790634545,0.22480488632507634,0.0
85,G,0.016457414319647097,0.017051238547675603,0.019087207329487616,0.01801266825019794,0.021080760095011877,0.02002035968781812,0.019511367492365116,0.03547392828865513,0.020727293292613958,0.01993552765524262,0.021646306978848548,0.025449609772650154,0.027527994570749916,0.022664291369754553,0.02789560004524375,0.017984390906006106,0.03869754552652415,0.03496493609320213,0.0324906684764167,0.03215134034611469,0.035120461486257214,0.02950740866417826,0.2670512385476756,0.21803246239113222,0.0
86,H,0.016301888926592015,0.01710779323605927,0.01685329713833277,0.018790295215473363,0.021914941748670966,0.020727293292613958,0.018677185838706027,0.0191579006899672,0.01985069562266712,0.019214455378350866,0.023965049202578893,0.01989311163895487,0.022056328469630133,0.02306017418844022,0.013643818572559665,0.02303189684424839,0.02338536364664631,0.021434226897409796,0.037326094333220226,0.04224635222259925,0.03439938920936546,0.041412170568940164,0.2770472797194887,0.22398484334351318,0.0
87,I,0.015071824454247257,0.016358443614975682,0.019525506164461033,0.017687478791991857,0.019341703427214117,0.019016513969008032,0.01846510575726728,0.02011933039248954,0.017659201447800022,0.022353240583644383,0.02132111752064246,0.02354088903970139,0.024035742563058477,0.026312068770501074,0.025619273837801153,0.03011537156430268,0.026750367605474494,0.0166270783847981,0.031218187987784186,0.038485465445085396,0.037015043547110056,0.0190730686573917,0.257818685669042,0.20368171021377673,0.0
